team,expected_points,points_std,p_title,p_top4,p_relegation,p_rank_1,p_rank_2,p_rank_3,p_rank_4,p_rank_5,p_rank_6,p_rank_7,p_rank_8,p_rank_9,p_rank_10,p_rank_11,p_rank_12,p_rank_13,p_rank_14,p_rank_15,p_rank_16,p_rank_17,p_rank_18,p_rank_19,p_rank_20
Arsenal,73.2783,7.47789,0.386165,0.873695,7e-06,0.386165,0.256028,0.14707,0.084432,0.050059,0.030108,0.018465,0.011589,0.006924,0.004189,0.002402,0.001354,0.000702,0.000323,0.000112,4.9e-05,2.2e-05,5e-06,2e-06,0
Man City,72.5695,7.58104,0.344951,0.851922,9e-06,0.344951,0.258245,0.156013,0.092713,0.05638,0.03504,0.021975,0.01368,0.008918,0.005257,0.003233,0.001797,0.000951,0.00051,0.00022,8.6e-05,2.2e-05,7e-06,1e-06,1e-06
Liverpool,67.3119,7.6466,0.132377,0.642473,0.000104,0.132377,0.179975,0.18686,0.143261,0.104805,0.075789,0.055075,0.039988,0.0287,0.019941,0.013698,0.008842,0.005332,0.002993,0.001416,0.000594,0.00025,7e-05,2.5e-05,9e-06
Aston Villa,62.6475,7.67865,0.047918,0.397277,0.000818,0.047918,0.088821,0.124917,0.135621,0.124542,0.106541,0.08953,0.073419,0.059074,0.046373,0.035356,0.026291,0.018274,0.011474,0.006496,0.003079,0.001456,0.000593,0.000187,3.8e-05
Chelsea,60.3273,7.6842,0.02694,0.284971,0.001811,0.02694,0.057834,0.090411,0.109786,0.114179,0.109022,0.099155,0.088245,0.075651,0.063391,0.051738,0.0403,0.029637,0.020406,0.012054,0.006372,0.003068,0.001293,0.000427,9.1e-05
Newcastle,58.8992,7.82712,0.01974,0.229021,0.003689,0.01974,0.044628,0.072041,0.092612,0.102659,0.103553,0.099569,0.091664,0.082853,0.072953,0.06176,0.050714,0.03977,0.028413,0.017935,0.010189,0.005258,0.002528,0.000932,0.000229
Brighton,57.7999,7.77462,0.014333,0.188268,0.005123,0.014333,0.034377,0.059326,0.080232,0.093065,0.098402,0.098668,0.094503,0.08785,0.079704,0.070189,0.059182,0.047389,0.034698,0.022768,0.013235,0.006956,0.003467,0.001354,0.000302
Crystal Palace,55.9601,7.75525,0.008297,0.132696,0.008942,0.008297,0.022248,0.041277,0.060874,0.075058,0.085079,0.091502,0.093313,0.092729,0.088645,0.082691,0.07359,0.062048,0.048199,0.033101,0.020679,0.011728,0.005866,0.002397,0.000679
Brentford,54.1892,7.79023,0.005138,0.092947,0.015682,0.005138,0.014471,0.02867,0.044668,0.058754,0.070547,0.079419,0.086182,0.090593,0.092055,0.091216,0.085985,0.07706,0.063833,0.046921,0.030548,0.018258,0.009743,0.004614,0.001325
Bournemouth,53.8994,7.75128,0.004438,0.086198,0.016861,0.004438,0.013142,0.026674,0.041944,0.055968,0.068309,0.077817,0.084971,0.090757,0.092958,0.091851,0.088097,0.07991,0.06598,0.048628,0.032145,0.01955,0.010678,0.004811,0.001372
Everton,53.1767,7.7401,0.003636,0.072679,0.020421,0.003636,0.010605,0.022215,0.036223,0.049987,0.062157,0.072761,0.08144,0.08845,0.092106,0.094167,0.091821,0.085541,0.072898,0.054877,0.037639,0.023056,0.012691,0.005935,0.001795
Man United,52.2018,7.71824,0.002597,0.057539,0.026809,0.002597,0.008034,0.017601,0.029307,0.04207,0.054119,0.06529,0.07559,0.083589,0.091001,0.095467,0.097068,0.092411,0.082026,0.063951,0.044727,0.028343,0.016385,0.007892,0.002532
Nott'm Forest,51.8089,7.68234,0.002175,0.052075,0.029336,0.002175,0.00703,0.015724,0.027146,0.038707,0.051139,0.061763,0.072527,0.082093,0.089911,0.095961,0.098263,0.096144,0.086348,0.067548,0.047546,0.030639,0.017861,0.008749,0.002726
Fulham,49.9986,7.69644,0.001235,0.033385,0.047619,0.001235,0.004212,0.009958,0.01798,0.027103,0.037806,0.047911,0.059113,0.070137,0.081724,0.091919,0.100454,0.105543,0.102314,0.085462,0.064954,0.044556,0.027591,0.014724,0.005304
Tottenham,42.2965,7.44687,4.2e-05,0.002726,0.23767,4.2e-05,0.000231,0.000694,0.001759,0.003498,0.005968,0.009675,0.014391,0.020753,0.030078,0.041633,0.057541,0.077839,0.102861,0.128927,0.137387,0.129053,0.10989,0.083391,0.044389
West Ham,39.6086,7.31268,9e-06,0.00093,0.36369,9e-06,5.1e-05,0.000267,0.000603,0.001313,0.002565,0.004236,0.006838,0.01099,0.016903,0.024975,0.037388,0.054275,0.079145,0.110365,0.136193,0.150194,0.148656,0.131558,0.083476
Sunderland,39.0678,7.22747,8e-06,0.000602,0.39192,8e-06,3.3e-05,0.00015,0.000411,0.000949,0.001959,0.003553,0.005874,0.009122,0.014515,0.021963,0.033534,0.050087,0.073579,0.10511,0.134847,0.152386,0.157212,0.142196,0.092512
Leeds,37.4746,7.11827,0,0.000333,0.48215,0,2.2e-05,7.2e-05,0.000239,0.000516,0.001018,0.001963,0.003475,0.005665,0.009284,0.014995,0.023838,0.037525,0.058246,0.088048,0.121016,0.151928,0.173046,0.178813,0.130291
Wolves,36.8898,7.10598,1e-06,0.000259,0.516175,1e-06,1.3e-05,5.9e-05,0.000186,0.000376,0.000838,0.001575,0.002978,0.004735,0.008161,0.013126,0.020664,0.033044,0.053074,0.081709,0.114926,0.14836,0.176608,0.192512,0.147055
Burnley,30.5615,6.7467,0,4e-06,0.831164,0,0,1e-06,3e-06,1.2e-05,4.1e-05,9.8e-05,0.00022,0.000417,0.000851,0.00166,0.003277,0.006518,0.01268,0.024352,0.043789,0.074917,0.12581,0.21948,0.485874
